股票代碼,進場日期,進場價,出場日期,出場價,出場原因,報酬率,股數
1583.TW,2026-08-21,56,2026-08-24,51.5,停損,-0.0804,1865
6550.TW,2026-08-21,12.25,2026-08-25,11,停損,-0.102,8968
4188.TWO,2026-08-24,12.1,2026-08-26,14.6,停利,0.2066,9090
3018.TW,2026-08-21,13.7,2026-08-27,12,停損,-0.1241,6825
4908.TWO,2026-08-26,163.5,2026-08-27,195.5,停利,0.1957,617
3363.TWO,2026-08-26,630,2026-08-31,747,停利,0.1857,160
8111.TWO,2026-08-21,59.9,2026-09-01,75.4,停利,0.2588,1666
1101.TW,2026-08-21,24.75,2026-09-03,24.8,到期出場,0.002,4032
1762.TW,2026-08-21,35.4,2026-09-03,36.2,到期出場,0.0226,2824
1903.TW,2026-08-21,48.4,2026-09-03,47.6,到期出場,-0.0165,2066
2014.TW,2026-08-21,17.35,2026-09-03,16.95,到期出場,-0.0231,5763
2034.TW,2026-08-21,20.4,2026-09-03,20.5,到期出場,0.0049,4889
2258.TW,2026-08-21,32.1,2026-09-03,31,到期出場,-0.0343,3110
2850.TW,2026-08-21,165.5,2026-09-03,161,到期出場,-0.0272,602
3540.TWO,2026-08-21,22.55,2026-09-03,24.25,到期出場,0.0754,4618
3673.TW,2026-08-21,63.9,2026-09-03,67,到期出場,0.0485,1536
4174.TWO,2026-08-21,27.35,2026-09-03,25,到期出場,-0.0859,3717
6160.TWO,2026-08-21,15.25,2026-09-03,14.95,到期出場,-0.0197,6535
6456.TW,2026-08-21,70.5,2026-09-03,70.1,到期出場,-0.0057,1404
6712.TWO,2026-08-21,152.5,2026-09-03,157.5,到期出場,0.0328,657
7780.TW,2026-08-21,16.85,2026-09-03,17.05,到期出場,0.0119,5934
0055.TW,2026-08-24,44.17,2026-09-07,48.63,到期出場,0.101,2263
2881.TW,2026-08-24,135,2026-09-07,149.5,到期出場,0.1074,746
6592.TW,2026-08-24,61.5,2026-09-07,60.6,到期出場,-0.0146,1626
8093.TWO,2026-08-24,24.05,2026-09-07,26.25,到期出場,0.0915,4024
8227.TWO,2026-08-24,155.5,2026-09-07,164,到期出場,0.0547,641
3022.TW,2026-09-07,97,2026-09-08,86.4,停損,-0.1093,1030
3162.TWO,2026-08-26,72.5,2026-09-08,69.6,到期出場,-0.04,1497
6442.TW,2026-08-26,1620,2026-09-08,1695,到期出場,0.0463,62
6706.TW,2026-08-26,123,2026-09-08,123,到期出場,0,813
